merchant_id,period,district_id,mcc,period_revenue,period_transaction_count,period_distinct_customers,POI_count,POI_diversity,merchant_district_mean_household_income,revenue_change,transaction_change,customer_change,mcc_median_revenue_change,mcc_median_transaction_change,mcc_median_customer_change,customer_age_mean,customer_age_median,customer_income_mean,customer_income_median,customer_gender_entropy,number_of_customer_work_districts,customer_work_district_entropy,number_of_customer_home_districts,customer_home_district_entropy,customer_job_type_entropy,customer_education_entropy,customer_marital_status_entropy,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector__centrality,merchant_district_population,merchant_ego_net_mcc_entropy,merchant_ego_net_geo_entropy,revenue_label,transaction_label,customer_label,sum_labels,performance_label
501,1,38,5541,19858.06,137,43,14,0.682908105,2633,0.341663284,0.226277372,-0.093023256,-0.094470234,-0.058823529,-0.076923077,38.18604651,38,4123.953488,2500,0.188112727,15,2.46709807,14,2.337532272,0.904279543,1.466781186,0.525173199,166,439.3692219,0.000252398,0.006128014,402391,0.979269092,2.525689742,1,1,0,2,medium-performing
502,1,81,5411,1797.51,66,20,422,1.003498062,4674,0.595846477,0.439393939,-0.15,0.177622795,0.10140376,0.055555556,34.9,32.5,1867.95,1625,0.610864102,14,2.454741959,3,0.518185913,0.612869152,1.344257169,0.845112957,75,79.92256577,0.000248509,0.001457491,598454,1.082690507,2.075713051,1,1,0,2,medium-performing
503,1,82,5691,40299.56,448,298,144,1.217194289,4670,0.043508167,-0.015625,0.003355705,-0.033028781,-0.022058824,-0.013157895,38.11409396,37,2829.45557,2000,0.597829568,30,2.813238435,23,1.606979798,0.987704598,1.44407316,0.569207286,456,2011.268939,0.000262881,0.027828005,381114,1.015080636,2.146449449,1,1,1,3,well-performing
504,1,42,5411,4851.72,151,38,29,0.401189862,3024,0.800922147,0.370860927,-0.105263158,0.177622795,0.10140376,0.055555556,38.18421053,37.5,2028.815789,2000,0.436162125,14,2.285236999,5,0.564663452,0.564663452,1.351297813,0.866971822,118,307.9340185,0.000247036,0.002198099,846492,1.056073863,1.81158665,1,1,0,2,medium-performing
505,1,63,5541,56091.92,294,47,139,0.906878102,3637,-0.701690725,-0.659863946,-0.446808511,-0.094470234,-0.058823529,-0.076923077,36.89361702,37,2515.042553,1500,0.381913113,14,1.789564049,11,1.39706953,0.678912045,1.163942602,0.481940174,136,226.3177204,0.000244678,0.005551123,699901,1.002606507,1.570582286,0,0,0,0,poorly-performing
506,1,123,5541,39517.14,304,97,291,1.270461288,4188,-0.646210986,-0.575657895,-0.567010309,-0.094470234,-0.058823529,-0.076923077,38.67010309,38,2612.762887,2000,0.30893077,23,2.451049976,21,1.973854538,0.733217468,1.315010935,0.68552663,327,1603.003785,0.000261917,0.01384019,442694,1.041290213,2.428103541,0,0,0,0,poorly-performing
507,1,63,5411,31753.24,94,36,247,1.260698847,3637,-0.36708191,-0.29787234,-0.027777778,0.177622795,0.10140376,0.055555556,39.88888889,39,2758.194444,2500,0.348831896,12,1.947538537,7,0.981581388,0.702407298,1.354828238,0.534922977,105,123.7493021,0.000244559,0.004226553,699901,1.07092679,1.35984068,0,0,0,0,poorly-performing
508,1,160,5411,6111.43,311,41,187,1.482046835,5772,1.29799245,0.077170418,0.097560976,0.177622795,0.10140376,0.055555556,45.68292683,45,2750.333415,2400,0.416309941,15,2.179265825,7,0.920869101,1.32709378,1.353489809,0.517746013,166,478.5066818,0.000254453,0.011628207,497586,1.052285609,1.72273176,1,0,1,2,medium-performing
509,1,4,5691,43120.28,370,252,28,1.429500551,6577,0.085027973,-0.062162162,0.095238095,-0.033028781,-0.022058824,-0.013157895,37.90873016,37,29706.07667,2500,0.681734134,24,2.402985905,18,1.896788339,1.024934433,1.352291315,0.925118895,497,2592.410619,0.000262605,0.094622223,423372,0.948761266,1.838513838,1,0,1,2,medium-performing
510,1,4,5691,12259.11,116,101,39,0.553752615,6577,0.002252203,0.077586207,0.04950495,-0.033028781,-0.022058824,-0.013157895,35.54455446,34,2551.326733,2347,0.497644802,23,2.443483784,14,1.959832328,0.985590743,1.193759937,0.983179962,333,812.6336936,0.000258866,0.038741549,423372,0.789580921,2.062326754,1,1,1,3,well-performing
511,1,61,5541,27761.73,192,66,23,1.658200178,6987,0.008197256,-0.09375,-0.272727273,-0.094470234,-0.058823529,-0.076923077,40.62121212,40,3244.378788,2000,0.425328093,18,2.397098258,16,2.063494563,1.049123917,1.326293896,0.770435775,285,1146.675544,0.000259808,0.013850958,533570,1.005816938,2.706824946,1,0,0,1,medium-performing
512,1,4,5691,15631.92,232,189,43,1.170498164,6577,-0.015025026,-0.060344828,-0.095238095,-0.033028781,-0.022058824,-0.013157895,34.62962963,33,3385.079365,2500,0.661899953,21,2.315321656,19,1.859544602,0.683371341,1.447552643,0.89832488,447,1480.41861,0.000260892,0.079443662,423372,0.900635327,1.853818313,1,0,0,1,medium-performing
513,1,53,5541,75734.99,588,231,111,0.607527835,4513,-0.11973356,-0.056122449,-0.177489177,-0.094470234,-0.058823529,-0.076923077,39.6017316,39,3128.170563,2000,0.402282407,29,2.728090186,29,2.205212828,1.132449587,1.539985229,0.543260393,541,4787.897163,0.000269034,0.014823636,396729,1.040977219,2.771852598,0,1,0,1,medium-performing
